Fly_index,Stimulation,Fly_line,Experiment,Slope[mm/s²],Backward distance traveled [mm],Vmin [mm/s]
35,on1,M0MDN3-CWAF22,M0MDN3-CWAF26_200717_112019_s0a0_p6-0,-36.864904289215275,-1.2632992855578742,-8.108800273123412
36,on1,M0MDN3-CWAF22,M0MDN3-CWAF26_200813_091201_s0a0_p6-0,,,
37,on1,M0MDN3-CWAF22,M0MDN3-CWAF26_200730_110102_s0a0_p6-0,-18.26584200988238,-7.112706444125152,-4.0837398195171675
38,on1,M0MDN3-CWAF22,M0MDN3-CWAF29_200724_143415_s0a0_p6-0,-53.547569623392484,-5.2197660706765685,-9.935466674179349
39,on1,M0MDN3-CWAF22,M0MDN3-CWAF29_200806_095003_s0a0_p6-0,-110.03996456842626,-7.915227862857195,-13.186648931189563
40,on1,M0MDN3-CWAF22,M0MDN3-CWAF16_200710_124757_s0a0_p6-0,,,
41,on1,M0MDN3-CWAF22,M0MDN3-CWAF33_200807_084102_s0a0_p6-0,-51.69905833773681,-6.7302547852892936,-9.229368217507314
42,on1,M0MDN3-CWAF22,M0MDN3-CWAF33_200820_094601_s0a0_p6-0,-14.89006701646725,-0.67158467756561,-3.3191591707629673
43,on1,M0MDN3-CWAF22,M0MDN3-CWAF33_200724_133302_s0a0_p6-0,-18.752095252476824,-7.444963393784917,-5.709840586709747
44,on1,M0MDN3-CWAF22,M0MDN3-CWAF28_200820_085756_s0a0_p6-0,-52.23700369037986,-10.351000702638924,-7.4095594452364635
45,on1,M0MDN3-CWAF22,M0MDN3-CWAF28_200724_144610_s0a0_p6-0,-43.38505711691624,-12.760605081920398,-10.692348875527289
46,on1,M0MDN3-CWAF22,M0MDN3-CWAF28_200806_093700_s0a0_p6-0,-41.87111737875055,-16.173763968500502,-9.880618122947858
47,on1,M0MDN3-CWAF22,M0MDN3-CWAF4_200626_113235_s0a0_p6-0,-6.885782500213343,-3.2899026060462955,-5.1840482234162835
48,on1,M0MDN3-CWAF22,M0MDN3-CWAF3_200626_112205_s0a0_p6-0,-39.60283225788167,-2.7935593461925277,-8.144501552257879
49,on1,M0MDN3-CWAF22,M0MDN3-CWAF5_200710_103400_s0a0_p6-0,-16.533856610162996,-3.015855001762669,-3.2752406389122593
50,on1,M0MDN3-CWAF22,M0MDN3-CWAF36_200807_091601_s0a0_p6-0,-3.175559369900283,-7.742510455283925,-3.990286151483411
51,on1,M0MDN3-CWAF22,M0MDN3-CWAF36_200724_124320_s0a0_p6-0,-54.04802509158314,-19.59415405690831,-9.240816301131938
52,on1,M0MDN3-CWAF22,M0MDN3-CWAF36_200820_102401_s0a0_p6-0,-1.6481650476561593,-9.695486655403299,-4.349449045239483
53,on1,M0MDN3-CWAF22,M0MDN3-CWAF24_200730_104451_s0a0_p6-0,-47.59798875607589,-16.29674272126308,-8.861767045468582
54,on1,M0MDN3-CWAF22,M0MDN3-CWAF24_200717_103447_s0a0_p6-0,-26.728634203832794,-4.495154824487741,-6.4405370178927495
55,on1,M0MDN3-CWAF22,M0MDN3-CWAF24_200813_085709_s0a0_p6-0,-14.751956390604244,-8.82290636902168,-7.215702578885208
56,on1,M0MDN3-CWAF22,M0MDN3-CWAF27_200804_085636_s0a0_p6-0,-31.362011371056205,-10.73992217923119,-5.741625464830852
57,on1,M0MDN3-CWAF22,M0MDN3-CWAF27_200819_083811_s0a0_p6-0,-30.874684432042628,-11.0844729553494,-7.6403278721408645
58,on1,M0MDN3-CWAF22,M0MDN3-CWAF27_200720_082408_s0a0_p6-0,-16.349699358208138,-0.9450416693169771,-3.6242747605697425
59,on1,M0MDN3-CWAF22,M0MDN3-CWAF30_200820_090346_s0a0_p6-0,-20.03949468438788,-1.1454874854620944,-4.609806556224449
60,on1,M0MDN3-CWAF22,M0MDN3-CWAF30_200806_095301_s0a0_p6-0,-87.43236799079605,-16.198493034636808,-9.99943199410831
61,on1,M0MDN3-CWAF22,M0MDN3-CWAF30_200724_142001_s0a0_p6-0,-106.81777534421484,-3.9250372111192835,-15.009573975032596
62,on1,M0MDN3-CWAF22,M0MDN3-CWAF23_200717_104600_s0a0_p6-0,-28.12683062847917,-8.423450912714431,-6.222438252589819
63,on1,M0MDN3-CWAF22,M0MDN3-CWAF23_200813_084803_s0a0_p6-0,,,
64,on1,M0MDN3-CWAF22,M0MDN3-CWAF23_200730_102203_s0a0_p6-0,-35.77770845592731,-20.1215561373049,-9.27696922249536
65,on1,M0MDN3-CWAF22,M0MDN3-CWAF12_200724_094740_s0a0_p6-0,-36.3677979199386,-7.202419777200231,-4.4063575393124195
66,on1,M0MDN3-CWAF22,M0MDN3-CWAF12_200710_110611_s0a0_p6-0,-56.04942975131596,-0.22627657774845117,-4.2891907233510755
67,on1,M0MDN3-CWAF22,M0MDN3-CWAF12_200806_084701_s0a0_p6-0,,,
68,on1,M0MDN3-CWAF22,M0MDN3-CWAF21_200728_085651_s0a0_p6-0,-48.4315549182433,-14.108888810142222,-9.579643003614425
69,on1,M0MDN3-CWAF22,M0MDN3-CWAF21_200811_090600_s0a0_p6-0,-23.050024212142258,-0.8600798884876807,-2.9812457703248794
70,on1,M0MDN3-CWAF22,M0MDN3-CWAF21_200714_092330_s0a0_p6-0,-26.985282748640746,-7.710786228632256,-6.985543302863426
71,on1,M0MDN3-CWAF22,M0MDN3-CWAF11_200702_115020_s0a0_p6-0,-46.74257329436853,-10.799445676062064,-5.641204429251799
72,on1,M0MDN3-CWAF22,M0MDN3-CWAF10_200702_113933_s0a0_p6-0,-1.2361883868766728,-0.7729157468428237,-0.6151101239518791
73,on1,M0MDN3-CWAF22,M0MDN3-CWAF37_200724_125201_s0a0_p6-0,,,
74,on1,M0MDN3-CWAF22,M0MDN3-CWAF20_200714_085826_s0a0_p6-0,-12.398136169305415,-12.217383723312285,-6.61494787001549
75,on1,M0MDN3-CWAF22,M0MDN3-CWAF40_200807_095810_s0a0_p6-0,-57.41726645866704,-14.652320065243616,-8.943740970014796
76,on1,M0MDN3-CWAF22,M0MDN3-CWAF40_200724_112522_s0a0_p6-0,-17.604439113357913,-1.3290879376371905,-3.367460299668677
77,on1,M0MDN3-CWAF22,M0MDN3-CWAF15_200806_090806_s0a0_p6-0,,,
78,on1,M0MDN3-CWAF22,M0MDN3-CWAF15_200710_120500_s0a0_p6-0,-4.912960065099957,-9.359042480009283,-5.997517943143454
79,on1,M0MDN3-CWAF22,M0MDN3-CWAF15_200724_105300_s0a0_p6-0,-36.06376766877206,-9.163984101049282,-8.38706829085847
80,on1,M0MDN3-CWAF22,M0MDN3-CWAF9_200702_110714_s0a0_p6-0,-3.1069368729170748,-0.646602203544558,-3.0650914377104708
81,on1,M0MDN3-CWAF22,M0MDN3-CWAF9_200717_094459_s0a0_p6-0,-6.9411908050417646,-1.928583434757855,-11.41082551119594
82,on1,M0MDN3-CWAF22,M0MDN3-CWAF9_200730_100716_s0a0_p6-0,-1.7674541876096768,-1.1623566028889534,-2.5681782030681615
83,on1,M0MDN3-CWAF22,M0MDN3-CWAF18_200811_090302_s0a0_p6-0,-15.907183564944365,-2.775279846373855,-3.1524114004354256
84,on1,M0MDN3-CWAF22,M0MDN3-CWAF18_200714_084029_s0a0_p6-0,-79.84413948968238,-10.433001690990892,-9.793765165060849
85,on1,M0MDN3-CWAF22,M0MDN3-CWAF18_200728_085303_s0a0_p6-0,,,
86,on1,M0MDN3-CWAF22,M0MDN3-CWAF34_200807_084709_s0a0_p6-0,-48.44058251624417,-19.854318469617237,-8.865010061930237
87,on1,M0MDN3-CWAF22,M0MDN3-CWAF34_200724_132021_s0a0_p6-0,,,
88,on1,M0MDN3-CWAF22,M0MDN3-CWAF34_200820_095200_s0a0_p6-0,-5.04166395646366,-10.959717649441997,-10.227597667366807
0,on2,M0MDN3-CWAF22,M0MDN3-CWAF22_200714_092939_s0a0_p6-0,,,
1,on2,M0MDN3-CWAF22,M0MDN3-CWAF32_200724_140800_s0a0_p6-0,-14.360017545719337,-8.545890966766867,-6.137398854713367
2,on2,M0MDN3-CWAF22,M0MDN3-CWAF32_200807_083200_s0a0_p6-0,-26.32079244785753,-4.852579914760059,-6.873388210293841
3,on2,M0MDN3-CWAF22,M0MDN3-CWAF32_200820_092201_s0a0_p6-0,-72.70115182040338,-11.485108016197671,-12.201690072590708
4,on2,M0MDN3-CWAF22,M0MDN3-CWAF38_200807_094503_s0a0_p6-0,,,
5,on2,M0MDN3-CWAF22,M0MDN3-CWAF38_200820_103603_s0a0_p6-0,-14.366866940508158,-5.67969562097164,-8.039578952106073
6,on2,M0MDN3-CWAF22,M0MDN3-CWAF38_200724_113826_s0a0_p6-0,-8.824689774785048,-3.758530046102232,-8.670208497301013
7,on2,M0MDN3-CWAF22,M0MDN3-CWAF7_200702_102303_s0a0_p6-0,-10.801332551820881,-5.403329855811071,-4.055095025530853
8,on2,M0MDN3-CWAF22,M0MDN3-CWAF25_200717_110607_s0a0_p6-0,-17.085247925416063,-8.490634087371255,-4.7061864890207366
9,on2,M0MDN3-CWAF22,M0MDN3-CWAF13_200710_111807_s0a0_p6-0,-40.07233767612947,-0.2709542245950987,-4.514729501297189
10,on2,M0MDN3-CWAF22,M0MDN3-CWAF13_200806_085301_s0a0_p6-0,,,
11,on2,M0MDN3-CWAF22,M0MDN3-CWAF13_200724_095302_s0a0_p6-0,-8.295576008908553,-13.097304117856567,-6.574435410451606
12,on2,M0MDN3-CWAF22,M0MDN3-CWAF19_200728_090647_s0a0_p6-0,-47.86222269704137,-16.29651970090104,-10.31824774728389
13,on2,M0MDN3-CWAF22,M0MDN3-CWAF19_200714_084831_s0a0_p6-0,-58.76202171092061,-14.202292829217125,-10.548124917290842
14,on2,M0MDN3-CWAF22,M0MDN3-CWAF19_200811_091309_s0a0_p6-0,-2.117305749058336,-1.9659924136211968,-6.2846895167761465
15,on2,M0MDN3-CWAF22,M0MDN3-CWAF6_200702_100802_s0a0_p6-0,-0.9116280877260857,-0.1404377668978428,-0.2945920200908282
